categoryId,description,name,oldprice,param,picture,price,url,vendor
Детские товары/Игрушки и игры,,Парео,1199.00,gender:Женский|Размер:UNI|Цвет:Красный|Пол:Женский|Возраст:Детский|Материал:Нейлон-100%,https://www.bebakids.ru/upload/iblock/m/ec5/118598_107_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpareo-plyazhnoe-iz-setki-28637-78-05-noble-people-107%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Туфли",,Полуботинки,3799.00,gender:Женский|Размер:33|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Кожа лаковая-100%,https://www.bebakids.ru/upload/iblock/m/46e/124667_497_1.jpeg,1899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpolubotinki-57810603-02-keddo-497%2F%3Fsize%3D33,Keddo
"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Туфли",,Полуботинки,3699.00,gender:Женский|Размер:33|Цвет:Черный|Пол:Женский|Возраст:Детский|Материал:Кожа искусственная-100%,https://www.bebakids.ru/upload/iblock/m/69a/119522_7_1.jpeg,1899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpolubotinki-57713107-02-keddo-7%2F%3Fsize%3D33,Keddo
Детские товары/Игрушки и игры,,Парео,1499.00,"gender:Женский|Размер:UNI|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Нейлон-86%, Спандекс-14%",https://www.bebakids.ru/upload/iblock/m/421/117329_1464_1.jpeg,399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpareo-tropiki-28637-70-01-noble-people-1464%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Аксессуары/Галстуки",,Бабочка,999.00,"gender:Женский|Размер:UNI|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-65%, Хлопок-35%",https://www.bebakids.ru/upload/iblock/m/cfe/117080_4_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbabochka-fetrovaya-babochka-29518-208-noble-people-4%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Обувь/Обувь для мальчиков/Ботинки",,Полуботинки,3499.00,gender:Мужской|Размер:33|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Нубук искусственный-100%,https://www.bebakids.ru/upload/iblock/m/b3b/124632_7_1.jpeg,1799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpolubotinki-17866208-01-keddo-7%2F%3Fsize%3D33,Keddo
"Одежда, обувь и аксессуары/Аксессуары",,Ободок,1199.00,"gender:Женский|Размер:UNI|Цвет:Черный|Пол:Женский|Возраст:Детский|Материал:Полиэстер-65%, Хлопок-35%",https://www.bebakids.ru/upload/iblock/m/956/117097_7_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fobodok-s-fetrovymi-babochkami-29518-225-noble-people-7%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Аксессуары",,Ободок,1199.00,"gender:Женский|Размер:UNI|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-65%, Хлопок-35%",https://www.bebakids.ru/upload/iblock/m/416/117097_4_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fobodok-s-fetrovymi-babochkami-29518-225-noble-people-4%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Юбки",,Юбка,4999.00,gender:Женский|Размер:134|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/47d/136497_1239_1.jpeg,1499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fyubka-g251-gaialuna-1239%2F%3Fsize%3D134,Gaialuna
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Шорты",,Бермуды,3999.00,"gender:Мужской|Размер:98|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Хлопок-97%, Эластан-3%",https://www.bebakids.ru/upload/iblock/m/d54/136250_46_1.jpeg,1299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbermudy-rk1301-ronnie-kay-46%2F%3Fsize%3D98,Ronnie Kay
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Футболки и топы",,Футболка+комбинезон,6699.00,"gender:Женский|Размер:98|Цвет:Разноцветный|Пол:Женский|Возраст:Детский|Материал:Хлопок-94%, Эластан-6%",https://www.bebakids.ru/upload/iblock/m/b2c/147966_523_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolkakombinezon-komplekt-tf18440-to-be-too-523%2F%3Fsize%3D98,To Be Too
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Свитеры и кофты",,Свитшот,4299.00,gender:Мужской|Размер:128|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/db0/136243_46_1.jpeg,1299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsvitshot-rk1063-ronnie-kay-46%2F%3Fsize%3D128,Ronnie Kay
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Жилеты",,Жилет,4199.00,gender:Мужской|Размер:104|Цвет:Серый|Пол:Мужской|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/17b/134859_260_1.jpeg,899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fzhilet-999.46794.00.42d-trybiritaly-260%2F%3Fsize%3D104,Trybiritaly
"Одежда, обувь и аксессуары/Аксессуары",,Ободок,1299.00,"gender:Женский|Размер:UNI|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-65%, Вискоза-35%",https://www.bebakids.ru/upload/iblock/m/1d3/141131_4_1.jpeg,599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fobodok-poperechnyy-gipyur-29518-345-noble-people-4%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Пиджаки",,Пиджак,10799.00,gender:Мужской|Размер:128|Цвет:Голубой|Пол:Мужской|Возраст:Детский|Материал:Лён-100%,https://www.bebakids.ru/upload/iblock/m/985/136229_122_1.jpeg,3299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpidzhak-rk1010-ronnie-kay-122%2F%3Fsize%3D128,Ronnie Kay
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Юбки",,Юбка,4699.00,gender:Женский|Размер:104|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/efd/134770_4546_1.jpeg,999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fyubka-999.45297.00.65u-trybiritaly-4546%2F%3Fsize%3D104,Trybiritaly
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Головные уборы",,Бейсболка,1999.00,gender:Женский|Размер:50-52|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/d2c/138467_9_1.jpeg,799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbeysbolka-babochki--28617-312-noble-people-9%2F%3Fsize%3D50-52,Noble People
